id,quantity,length,width,height,weight,fragile,dest_x,dest_y
0,1,24,6,12,10,0,42.0,41.0
1,1,16,14,9,10,1,31.0,32.0
2,1,12,7,16,10,0,5.0,25.0
3,1,24,5,13,10,0,12.0,42.0
4,1,22,15,8,10,0,36.0,16.0
5,1,23,5,16,10,0,36.0,16.0
6,1,21,13,16,10,1,36.0,16.0
7,1,27,6,13,10,0,52.0,41.0
8,1,27,15,6,10,1,52.0,41.0
9,1,26,6,13,10,0,27.0,23.0
10,1,31,13,16,10,0,17.0,33.0
11,1,22,7,13,10,0,17.0,33.0
12,1,26,6,12,10,0,17.0,33.0
13,1,25,6,14,10,0,13.0,13.0
14,1,15,9,12,10,0,13.0,13.0
15,1,26,5,9,10,0,13.0,13.0
16,1,33,13,14,10,0,57.0,58.0
17,1,27,8,10,10,0,57.0,58.0
18,1,16,12,8,10,1,57.0,58.0
19,1,27,11,15,10,0,62.0,42.0
20,1,25,6,11,10,0,62.0,42.0
21,1,20,8,10,10,0,62.0,42.0
22,1,13,13,12,10,0,42.0,57.0
23,1,28,14,17,10,0,16.0,57.0
24,1,15,6,16,10,0,16.0,57.0
25,1,22,10,11,10,0,8.0,52.0
26,1,33,10,14,10,1,8.0,52.0
27,1,29,15,11,10,0,7.0,38.0
28,1,29,12,18,10,0,27.0,68.0
29,1,20,8,16,10,0,27.0,68.0
30,1,19,12,7,10,1,27.0,68.0
31,1,29,12,9,10,0,30.0,48.0
32,1,16,9,17,10,0,43.0,67.0
33,1,24,6,14,10,0,43.0,67.0
34,1,19,7,9,10,1,43.0,67.0
35,1,19,14,12,10,0,58.0,48.0
36,1,14,8,16,10,1,58.0,27.0
