id,quantity,length,width,height,weight,fragile,dest_x,dest_y
0,1,32,13,8,10,1,151.0,264.0
1,1,22,11,13,10,1,151.0,264.0
2,1,24,12,6,10,0,159.0,261.0
3,1,24,8,8,10,0,159.0,261.0
4,1,20,10,10,10,1,159.0,261.0
5,1,25,10,9,10,1,130.0,254.0
6,1,26,10,17,10,0,128.0,252.0
7,1,13,14,18,10,0,163.0,247.0
8,1,21,12,9,10,0,163.0,247.0
9,1,19,12,9,10,0,163.0,247.0
10,1,15,10,9,10,1,146.0,246.0
11,1,28,14,10,10,0,161.0,242.0
12,1,30,14,16,10,0,142.0,239.0
13,1,34,11,11,10,0,142.0,239.0
14,1,25,9,17,10,0,142.0,239.0
15,1,31,6,14,10,0,163.0,236.0
16,1,15,13,8,10,0,163.0,236.0
17,1,15,11,10,10,1,163.0,236.0
18,1,21,11,13,10,0,148.0,232.0
19,1,34,6,11,10,0,148.0,232.0
20,1,35,5,7,10,0,148.0,232.0
21,1,34,14,8,10,0,128.0,231.0
22,1,22,10,12,10,0,128.0,231.0
23,1,29,12,11,10,1,156.0,217.0
24,1,28,10,9,10,0,129.0,214.0
25,1,18,15,7,10,0,129.0,214.0
26,1,27,6,10,10,0,129.0,214.0
27,1,23,13,15,10,0,146.0,208.0
28,1,15,9,7,10,0,146.0,208.0
29,1,32,6,14,10,1,146.0,208.0
30,1,26,6,15,10,0,164.0,208.0
31,1,35,9,16,10,1,141.0,206.0
32,1,26,6,9,10,1,141.0,206.0
33,1,34,13,9,10,0,147.0,193.0
34,1,20,11,18,10,0,147.0,193.0
35,1,14,11,16,10,0,147.0,193.0
36,1,31,8,15,10,0,164.0,193.0
37,1,23,12,11,10,1,164.0,193.0
38,1,20,6,9,10,0,129.0,189.0
39,1,29,14,7,10,1,129.0,189.0
40,1,29,11,13,10,0,155.0,185.0
41,1,24,13,13,10,0,155.0,185.0
42,1,15,6,13,10,0,155.0,185.0
43,1,29,7,14,10,0,139.0,182.0
44,1,34,12,18,10,1,139.0,182.0
