id,quantity,length,width,height,weight,fragile,dest_x,dest_y
0,1,29,14,16,10,0,22.0,22.0
1,1,25,10,9,10,1,22.0,22.0
2,1,21,13,14,10,0,36.0,26.0
3,1,19,10,9,10,0,36.0,26.0
4,1,22,14,15,10,1,36.0,26.0
5,1,30,10,10,10,0,21.0,45.0
6,1,15,11,13,10,0,21.0,45.0
7,1,24,13,6,10,1,21.0,45.0
8,1,34,6,16,10,0,45.0,35.0
9,1,31,13,18,10,1,45.0,35.0
10,1,23,12,10,10,1,55.0,20.0
11,1,33,11,13,10,0,33.0,34.0
12,1,25,9,15,10,0,50.0,50.0
13,1,32,12,8,10,0,50.0,50.0
14,1,22,11,8,10,0,50.0,50.0
15,1,20,13,13,10,0,55.0,45.0
16,1,21,12,12,10,0,55.0,45.0
17,1,32,11,10,10,0,26.0,59.0
18,1,16,13,10,10,0,26.0,59.0
19,1,24,6,6,10,0,26.0,59.0
20,1,16,10,11,10,0,40.0,66.0
21,1,24,15,18,10,0,55.0,65.0
22,1,34,7,13,10,0,35.0,51.0
23,1,19,14,10,10,0,35.0,51.0
24,1,35,5,12,10,0,35.0,51.0
25,1,20,12,13,10,0,62.0,35.0
26,1,23,11,11,10,0,62.0,35.0
27,1,17,8,9,10,0,62.0,35.0
28,1,13,7,18,10,1,62.0,57.0
29,1,26,8,9,10,0,62.0,24.0
30,1,19,10,10,10,0,21.0,36.0
31,1,14,9,8,10,0,21.0,36.0
32,1,24,11,10,10,0,33.0,44.0
33,1,14,15,15,10,0,9.0,56.0
34,1,29,7,14,10,0,9.0,56.0
35,1,21,5,13,10,0,9.0,56.0
36,1,31,10,16,10,0,62.0,48.0
37,1,21,13,12,10,0,62.0,48.0
38,1,13,9,17,10,1,62.0,48.0
39,1,36,7,15,10,0,66.0,14.0
40,1,24,9,6,10,0,66.0,14.0
41,1,16,11,9,10,0,44.0,13.0
42,1,15,8,16,10,1,44.0,13.0
43,1,32,6,11,10,0,26.0,13.0
44,1,13,10,18,10,1,26.0,13.0
45,1,19,12,11,10,0,11.0,28.0
46,1,23,13,7,10,0,11.0,28.0
47,1,29,8,16,10,1,11.0,28.0
48,1,27,12,15,10,0,7.0,43.0
49,1,35,10,11,10,0,7.0,43.0
50,1,15,11,15,10,1,7.0,43.0
51,1,19,6,7,10,0,17.0,64.0
52,1,18,6,17,10,0,41.0,46.0
53,1,12,8,11,10,0,41.0,46.0
54,1,16,12,9,10,1,41.0,46.0
55,1,19,12,9,10,0,55.0,34.0
56,1,24,13,18,10,1,55.0,34.0
57,1,35,10,12,10,1,55.0,34.0
58,1,12,15,13,10,0,35.0,16.0
59,1,25,14,10,10,0,52.0,26.0
60,1,25,11,11,10,0,52.0,26.0
61,1,14,9,17,10,0,52.0,26.0
62,1,15,15,12,10,0,43.0,26.0
