id,quantity,length,width,height,weight,fragile,dest_x,dest_y
0,1,21,14,12,10,0,10.0,260.0
1,1,18,8,8,10,1,10.0,260.0
2,1,16,12,18,10,0,313.0,382.0
3,1,20,10,7,10,1,467.0,67.0
4,1,27,12,6,10,0,205.0,254.0
5,1,24,15,18,10,1,205.0,254.0
6,1,30,6,15,10,1,205.0,254.0
7,1,31,7,9,10,1,275.0,34.0
8,1,26,12,7,10,0,269.0,262.0
9,1,21,10,12,10,1,269.0,262.0
10,1,32,7,10,10,1,269.0,262.0
11,1,21,10,18,10,0,293.0,269.0
12,1,31,7,9,10,0,333.0,212.0
13,1,24,13,10,10,0,304.0,202.0
14,1,25,11,9,10,1,304.0,202.0
15,1,19,9,13,10,1,304.0,202.0
16,1,28,15,10,10,0,286.0,207.0
17,1,19,10,16,10,0,288.0,191.0
18,1,31,14,12,10,1,288.0,191.0
19,1,26,15,17,10,0,295.0,235.0
20,1,35,7,7,10,0,295.0,235.0
21,1,25,14,15,10,1,295.0,235.0
22,1,32,8,11,10,0,50.0,249.0
23,1,27,11,9,10,0,50.0,249.0
24,1,21,10,7,10,1,50.0,249.0
25,1,17,14,12,10,0,484.0,179.0
26,1,28,7,11,10,0,484.0,179.0
27,1,26,14,10,10,0,447.0,189.0
28,1,24,8,12,10,0,447.0,189.0
29,1,22,15,15,10,1,447.0,189.0
30,1,22,11,12,10,0,215.0,204.0
31,1,15,9,13,10,0,215.0,204.0
32,1,13,9,6,10,0,215.0,204.0
33,1,21,12,14,10,0,22.0,255.0
34,1,23,11,13,10,1,267.0,316.0
35,1,33,11,8,10,1,391.0,196.0
36,1,31,13,6,10,0,399.0,122.0
37,1,22,7,6,10,0,399.0,122.0
38,1,28,9,9,10,0,363.0,187.0
39,1,12,15,12,10,0,355.0,236.0
40,1,13,11,10,10,0,355.0,236.0
41,1,14,14,7,10,1,355.0,236.0
42,1,21,9,17,10,0,378.0,203.0
43,1,20,12,17,10,0,458.0,218.0
44,1,22,9,7,10,0,458.0,218.0
45,1,14,12,7,10,0,458.0,218.0
46,1,28,10,13,10,0,383.0,181.0
47,1,29,6,15,10,0,383.0,181.0
48,1,25,10,7,10,1,383.0,181.0
49,1,31,7,14,10,0,240.0,326.0
50,1,17,12,8,10,0,273.0,349.0
51,1,26,9,15,10,0,278.0,374.0
52,1,29,14,16,10,0,352.0,271.0
53,1,19,7,11,10,0,352.0,271.0
54,1,13,10,11,10,0,352.0,271.0
55,1,20,14,9,10,0,324.0,295.0
56,1,18,12,9,10,0,324.0,295.0
57,1,13,15,17,10,1,324.0,295.0
58,1,20,14,10,10,0,249.0,250.0
59,1,18,14,6,10,1,249.0,250.0
60,1,24,11,15,10,1,65.0,248.0
