id,quantity,length,width,height,weight,fragile,dest_x,dest_y
0,1,33,14,8,10,0,3.0,5.0
1,1,20,6,17,10,0,3.0,5.0
2,1,28,11,12,10,1,2.5,9.0
3,1,21,7,10,10,1,48.0,16.0
4,1,22,14,13,10,0,48.0,17.0
5,1,15,5,9,10,0,48.0,17.0
6,1,28,13,14,10,0,69.0,16.0
7,1,13,13,15,10,0,69.0,16.0
8,1,18,6,15,10,1,69.0,16.0
9,1,18,13,7,10,0,70.0,16.0
10,1,14,9,18,10,0,64.0,13.0
11,1,15,13,7,10,0,64.0,13.0
12,1,16,6,9,10,0,64.0,13.0
13,1,26,11,18,10,0,3.0,-22.0
14,1,18,12,7,10,0,3.0,-22.0
15,1,34,5,8,10,1,3.0,-22.0
16,1,14,8,14,10,0,2.5,1.0
17,1,13,8,6,10,0,2.5,1.0
18,1,16,9,17,10,0,-13.0,11.5
19,1,25,12,16,10,1,-13.0,11.5
20,1,33,9,16,10,0,-20.0,45.0
21,1,16,7,17,10,0,-20.0,45.0
22,1,32,9,8,10,1,-20.0,45.0
23,1,18,12,11,10,0,-9.0,52.0
24,1,24,14,15,10,1,-9.0,52.0
25,1,31,10,9,10,1,-9.0,52.0
26,1,29,14,16,10,0,-8.5,53.0
27,1,32,13,17,10,0,-8.0,52.0
28,1,23,12,16,10,0,-8.0,52.0
29,1,16,10,16,10,0,-8.0,52.0
30,1,29,9,16,10,0,2.0,2.0
31,1,36,7,12,10,0,2.0,2.0
32,1,15,11,7,10,0,2.0,2.0
33,1,17,12,15,10,0,-2.0,9.0
34,1,23,10,13,10,0,-10.0,20.0
35,1,25,11,10,10,0,-10.0,20.0
36,1,18,7,13,10,0,-10.0,20.0
37,1,35,14,16,10,0,-20.0,19.0
38,1,25,15,8,10,0,-20.0,19.0
39,1,33,6,14,10,0,-15.0,-21.0
40,1,31,6,13,10,0,-15.0,-21.0
41,1,17,11,9,10,0,-15.0,-21.0
42,1,21,12,17,10,0,-5.0,-9.0
43,1,27,10,16,10,1,-5.0,-9.0
44,1,34,12,8,10,0,-4.5,-9.0
45,1,36,5,17,10,1,-4.5,-9.0
46,1,29,14,14,10,0,-52.0,-36.0
47,1,27,13,14,10,1,-53.0,-36.0
48,1,17,11,12,10,1,-53.0,-36.0
49,1,34,12,11,10,0,0.0,0.01
50,1,20,12,9,10,0,-30.0,-18.0
51,1,13,11,10,10,0,-51.0,-35.0
52,1,27,14,6,10,1,-51.0,-35.0
53,1,22,10,9,10,0,81.0,9.0
54,1,16,8,13,10,0,81.0,9.0
55,1,19,15,10,10,1,81.0,9.0
56,1,17,11,12,10,0,84.0,-99.0
57,1,26,12,12,10,1,84.0,-99.0
58,1,25,12,13,10,0,82.0,-6.0
59,1,35,12,11,10,1,82.0,-6.0
60,1,18,8,11,10,1,82.0,-6.0
61,1,27,12,11,10,1,40.0,-12.0
62,1,32,15,10,10,1,50.0,-7.0
63,1,31,7,9,10,1,50.0,-7.0
64,1,18,6,10,10,0,51.0,-8.0
65,1,18,8,7,10,0,63.0,-17.0
66,1,34,10,17,10,1,63.0,-17.0
67,1,15,14,12,10,1,63.0,-17.0
68,1,30,7,9,10,0,45.0,-1.0
69,1,13,7,9,10,0,45.0,-1.0
70,1,20,8,13,10,1,45.0,-1.0
71,1,17,10,16,10,0,54.0,8.5
72,1,32,14,8,10,1,54.0,8.5
73,1,13,12,8,10,1,54.0,8.5
74,1,36,7,8,10,0,29.0,4.0
75,1,21,10,11,10,1,29.0,4.0
76,1,14,12,14,10,0,21.0,3.0
77,1,35,11,7,10,0,22.0,2.0
78,1,14,8,16,10,0,22.0,2.0
79,1,15,6,6,10,1,22.0,2.0
80,1,13,12,13,10,0,39.0,-3.0
81,1,32,10,6,10,0,39.0,-3.0
82,1,19,5,8,10,0,39.0,-3.0
83,1,23,12,10,10,0,39.5,-3.0
84,1,17,11,8,10,1,39.5,-3.0
85,1,24,13,11,10,0,40.0,-11.0
86,1,17,9,13,10,0,40.0,-11.0
87,1,34,13,15,10,1,40.0,-11.0
88,1,31,12,10,10,0,28.0,-2.0
89,1,18,8,13,10,0,28.0,-2.0
90,1,17,9,11,10,1,28.0,-2.0
91,1,34,12,12,10,0,24.0,-18.0
92,1,22,8,13,10,0,24.0,-18.0
93,1,19,7,8,10,0,24.0,-19.0
