id,quantity,length,width,height,weight,fragile,dest_x,dest_y
0,1,14,6,8,10,0,22.0,22.0
1,1,13,14,6,10,0,36.0,26.0
2,1,19,11,10,10,0,21.0,45.0
3,1,12,11,10,10,0,21.0,45.0
4,1,13,9,10,10,0,21.0,45.0
5,1,26,10,15,10,0,45.0,35.0
6,1,32,12,16,10,0,55.0,20.0
7,1,22,9,13,10,1,55.0,20.0
8,1,17,11,17,10,0,33.0,34.0
9,1,13,13,14,10,0,33.0,34.0
10,1,18,12,15,10,1,33.0,34.0
11,1,21,10,18,10,0,50.0,50.0
12,1,32,9,11,10,0,50.0,50.0
13,1,33,7,12,10,0,50.0,50.0
14,1,24,9,18,10,0,55.0,45.0
15,1,23,7,12,10,0,55.0,45.0
16,1,24,11,8,10,0,26.0,59.0
17,1,17,9,13,10,1,26.0,59.0
18,1,16,6,13,10,0,40.0,66.0
19,1,27,6,7,10,0,40.0,66.0
20,1,29,7,17,10,0,55.0,65.0
21,1,21,9,14,10,0,35.0,51.0
22,1,21,12,8,10,0,62.0,35.0
23,1,34,11,12,10,0,62.0,57.0
24,1,31,13,16,10,1,62.0,57.0
25,1,23,7,13,10,1,62.0,57.0
26,1,28,12,9,10,0,62.0,24.0
27,1,35,15,16,10,0,21.0,36.0
28,1,12,14,18,10,0,21.0,36.0
29,1,12,13,6,10,0,21.0,36.0
30,1,31,6,15,10,1,33.0,44.0
31,1,27,12,15,10,0,9.0,56.0
32,1,29,14,16,10,1,9.0,56.0
33,1,20,7,9,10,1,9.0,56.0
34,1,33,8,17,10,0,62.0,48.0
35,1,29,10,11,10,0,62.0,48.0
36,1,22,14,8,10,0,62.0,48.0
37,1,29,7,16,10,0,66.0,14.0
38,1,14,12,13,10,0,44.0,13.0
39,1,21,10,10,10,0,44.0,13.0
40,1,33,11,12,10,1,44.0,13.0
41,1,14,10,13,10,1,26.0,13.0
42,1,24,12,16,10,0,11.0,28.0
43,1,28,8,14,10,0,7.0,43.0
44,1,25,13,7,10,0,7.0,43.0
45,1,34,5,8,10,0,17.0,64.0
46,1,36,15,10,10,0,41.0,46.0
47,1,14,14,14,10,1,55.0,34.0
48,1,30,11,14,10,0,35.0,16.0
49,1,21,14,11,10,0,35.0,16.0
50,1,33,13,7,10,0,35.0,16.0
51,1,33,12,6,10,0,52.0,26.0
52,1,31,9,8,10,0,43.0,26.0
53,1,14,5,18,10,0,43.0,26.0
54,1,26,8,14,10,0,31.0,76.0
55,1,29,7,7,10,0,22.0,53.0
56,1,17,8,7,10,0,26.0,29.0
57,1,15,14,15,10,1,26.0,29.0
58,1,31,14,7,10,1,26.0,29.0
59,1,26,14,7,10,0,50.0,40.0
60,1,16,12,10,10,0,50.0,40.0
61,1,19,14,16,10,1,50.0,40.0
62,1,27,10,12,10,0,55.0,50.0
63,1,32,10,8,10,0,55.0,50.0
64,1,14,15,14,10,1,55.0,50.0
65,1,14,14,13,10,0,54.0,10.0
66,1,27,6,7,10,0,54.0,10.0
67,1,17,6,8,10,0,54.0,10.0
68,1,26,11,13,10,0,60.0,15.0
69,1,14,7,6,10,0,60.0,15.0
70,1,26,9,11,10,1,60.0,15.0
71,1,27,9,15,10,0,47.0,66.0
72,1,34,7,9,10,0,47.0,66.0
73,1,31,6,9,10,1,47.0,66.0
74,1,27,12,13,10,0,30.0,60.0
75,1,21,10,7,10,0,30.0,60.0
76,1,14,6,17,10,0,30.0,60.0
77,1,31,10,9,10,0,30.0,50.0
78,1,28,11,9,10,0,30.0,50.0
79,1,28,12,8,10,0,30.0,50.0
80,1,27,6,7,10,1,12.0,17.0
81,1,22,6,9,10,0,15.0,14.0
82,1,17,14,7,10,1,15.0,14.0
83,1,16,8,17,10,0,16.0,19.0
84,1,30,9,6,10,0,16.0,19.0
85,1,21,5,8,10,0,16.0,19.0
86,1,31,10,12,10,0,21.0,48.0
87,1,22,10,8,10,0,21.0,48.0
88,1,23,12,6,10,0,21.0,48.0
89,1,26,11,13,10,0,50.0,30.0
90,1,24,12,7,10,0,50.0,30.0
91,1,24,9,15,10,1,50.0,30.0
92,1,32,7,11,10,0,51.0,42.0
93,1,14,6,12,10,0,51.0,42.0
94,1,22,6,13,10,0,50.0,15.0
95,1,32,12,7,10,1,50.0,15.0
96,1,19,9,14,10,0,48.0,21.0
97,1,23,11,9,10,0,48.0,21.0
98,1,15,15,16,10,0,12.0,38.0
99,1,14,8,8,10,0,12.0,38.0
100,1,29,8,12,10,1,12.0,38.0
101,1,33,12,11,10,0,15.0,56.0
102,1,22,7,9,10,0,15.0,56.0
103,1,15,10,12,10,0,29.0,39.0
104,1,30,8,7,10,0,29.0,39.0
105,1,25,6,7,10,0,29.0,39.0
106,1,27,12,17,10,0,54.0,38.0
107,1,23,6,15,10,0,54.0,38.0
108,1,36,7,17,10,0,55.0,57.0
109,1,29,12,14,10,0,67.0,41.0
110,1,32,7,12,10,1,10.0,70.0
111,1,30,12,16,10,0,6.0,25.0
112,1,26,15,11,10,1,65.0,27.0
113,1,18,15,8,10,0,40.0,60.0
114,1,31,14,11,10,0,70.0,64.0
115,1,35,13,9,10,0,64.0,4.0
116,1,27,7,15,10,0,64.0,4.0
117,1,25,7,7,10,0,64.0,4.0
118,1,34,13,16,10,0,36.0,6.0
119,1,26,6,10,10,1,30.0,20.0
120,1,32,12,9,10,1,20.0,30.0
121,1,31,7,7,10,1,20.0,30.0
122,1,12,13,12,10,0,15.0,5.0
123,1,26,14,11,10,1,15.0,5.0
124,1,17,6,10,10,0,50.0,70.0
125,1,14,11,11,10,0,57.0,72.0
126,1,22,14,14,10,1,57.0,72.0
127,1,14,15,17,10,1,57.0,72.0
128,1,15,11,15,10,0,45.0,42.0
129,1,30,6,11,10,0,45.0,42.0
130,1,30,10,17,10,0,38.0,33.0
131,1,20,8,11,10,0,38.0,33.0
132,1,33,6,7,10,1,50.0,4.0
133,1,18,13,10,10,0,66.0,8.0
134,1,35,11,9,10,1,66.0,8.0
135,1,14,7,12,10,0,59.0,5.0
136,1,36,10,16,10,0,35.0,60.0
137,1,29,7,13,10,0,35.0,60.0
138,1,22,10,10,10,0,27.0,24.0
139,1,34,11,12,10,1,27.0,24.0
140,1,30,6,6,10,1,27.0,24.0
141,1,16,14,12,10,0,40.0,20.0
142,1,20,8,9,10,0,40.0,37.0
