id,quantity,length,width,height,weight,fragile,dest_x,dest_y
0,1,32,6,8,10,0,41.0,49.0
1,1,16,8,11,10,0,41.0,49.0
2,1,33,14,10,10,1,41.0,49.0
3,1,28,10,16,10,1,35.0,17.0
4,1,28,13,14,10,0,55.0,45.0
5,1,33,10,14,10,0,55.0,20.0
6,1,19,5,8,10,0,55.0,20.0
7,1,14,9,8,10,0,15.0,30.0
8,1,15,12,17,10,0,25.0,30.0
9,1,31,12,11,10,1,25.0,30.0
10,1,15,8,13,10,1,25.0,30.0
11,1,18,8,15,10,0,20.0,50.0
12,1,12,9,11,10,0,20.0,50.0
13,1,32,14,7,10,1,20.0,50.0
14,1,22,6,8,10,0,10.0,43.0
15,1,21,6,12,10,0,55.0,60.0
16,1,26,14,15,10,0,30.0,60.0
17,1,36,7,7,10,1,30.0,60.0
18,1,12,9,7,10,1,20.0,65.0
19,1,36,15,11,10,0,50.0,35.0
20,1,17,7,16,10,0,50.0,35.0
21,1,26,15,16,10,0,30.0,25.0
22,1,34,7,18,10,0,30.0,25.0
23,1,13,11,14,10,0,30.0,25.0
24,1,13,13,9,10,0,15.0,10.0
25,1,22,6,11,10,0,15.0,10.0
26,1,23,5,6,10,0,15.0,10.0
27,1,21,13,12,10,0,30.0,5.0
28,1,28,14,6,10,0,30.0,5.0
29,1,35,7,7,10,0,30.0,5.0
30,1,30,13,13,10,0,10.0,20.0
31,1,29,15,9,10,0,10.0,20.0
32,1,27,14,17,10,0,5.0,30.0
33,1,15,13,12,10,0,20.0,40.0
34,1,20,5,7,10,0,20.0,40.0
35,1,19,6,17,10,1,20.0,40.0
36,1,32,6,14,10,0,15.0,60.0
37,1,29,6,16,10,0,45.0,65.0
38,1,29,6,10,10,0,45.0,65.0
39,1,23,9,7,10,1,45.0,20.0
40,1,24,14,11,10,0,45.0,10.0
41,1,14,13,12,10,0,45.0,10.0
42,1,24,9,18,10,1,45.0,10.0
43,1,33,8,17,10,0,55.0,5.0
44,1,28,8,12,10,0,55.0,5.0
45,1,13,12,17,10,0,55.0,5.0
46,1,30,9,14,10,0,65.0,35.0
47,1,15,7,17,10,0,65.0,35.0
48,1,32,10,12,10,0,65.0,20.0
49,1,36,13,9,10,1,65.0,20.0
50,1,33,7,8,10,0,45.0,30.0
51,1,14,8,8,10,1,45.0,30.0
52,1,23,5,14,10,0,35.0,40.0
53,1,19,9,8,10,1,35.0,40.0
54,1,29,14,14,10,0,41.0,37.0
55,1,18,15,17,10,0,41.0,37.0
56,1,23,12,13,10,0,41.0,37.0
57,1,25,8,8,10,0,64.0,42.0
58,1,19,13,14,10,0,40.0,60.0
59,1,24,11,12,10,0,40.0,60.0
60,1,26,6,10,10,1,40.0,60.0
61,1,17,5,15,10,0,31.0,52.0
62,1,23,12,14,10,0,35.0,69.0
63,1,16,14,16,10,0,35.0,69.0
64,1,36,7,14,10,0,35.0,69.0
65,1,31,8,14,10,0,53.0,52.0
66,1,27,7,7,10,0,53.0,52.0
67,1,14,9,9,10,0,53.0,52.0
68,1,21,8,8,10,0,65.0,55.0
69,1,36,10,9,10,0,63.0,65.0
70,1,14,8,14,10,0,63.0,65.0
71,1,14,13,6,10,0,63.0,65.0
72,1,25,14,13,10,0,2.0,60.0
73,1,31,7,18,10,0,2.0,60.0
74,1,13,8,12,10,1,2.0,60.0
75,1,33,9,6,10,0,20.0,20.0
76,1,19,12,14,10,0,5.0,5.0
77,1,18,7,7,10,0,60.0,12.0
78,1,22,12,15,10,0,40.0,25.0
79,1,12,14,15,10,0,40.0,25.0
80,1,30,9,8,10,0,42.0,7.0
81,1,14,12,11,10,0,42.0,7.0
82,1,14,14,15,10,0,24.0,12.0
83,1,13,12,14,10,1,24.0,12.0
84,1,35,7,12,10,0,23.0,3.0
85,1,21,12,8,10,0,23.0,3.0
86,1,18,8,15,10,1,23.0,3.0
87,1,19,14,12,10,0,11.0,14.0
88,1,23,6,13,10,0,11.0,14.0
89,1,30,15,17,10,0,6.0,38.0
90,1,29,6,14,10,0,6.0,38.0
91,1,22,5,15,10,1,6.0,38.0
92,1,17,12,12,10,0,2.0,48.0
93,1,22,6,11,10,0,2.0,48.0
94,1,20,12,16,10,0,8.0,56.0
95,1,16,5,17,10,0,8.0,56.0
96,1,33,10,16,10,0,13.0,52.0
97,1,19,6,15,10,0,13.0,52.0
98,1,32,5,8,10,0,13.0,52.0
99,1,20,13,15,10,0,6.0,68.0
100,1,23,12,16,10,1,6.0,68.0
101,1,17,8,17,10,1,6.0,68.0
102,1,28,9,10,10,0,47.0,47.0
103,1,19,9,16,10,1,47.0,47.0
104,1,14,7,8,10,1,49.0,58.0
105,1,27,14,10,10,1,27.0,43.0
106,1,24,10,17,10,0,37.0,31.0
107,1,27,7,8,10,0,37.0,31.0
108,1,29,15,10,10,0,57.0,29.0
109,1,17,13,9,10,0,57.0,29.0
110,1,16,15,14,10,0,63.0,23.0
111,1,28,6,17,10,1,63.0,23.0
112,1,15,9,14,10,0,53.0,12.0
113,1,20,10,10,10,0,32.0,12.0
114,1,28,7,14,10,1,32.0,12.0
115,1,33,9,6,10,0,36.0,26.0
116,1,36,8,15,10,0,21.0,24.0
117,1,20,11,12,10,0,21.0,24.0
118,1,34,12,13,10,0,17.0,34.0
119,1,25,10,9,10,0,17.0,34.0
120,1,27,6,12,10,0,12.0,24.0
121,1,33,7,8,10,0,12.0,24.0
122,1,12,5,8,10,1,12.0,24.0
123,1,27,14,18,10,0,24.0,58.0
124,1,17,14,12,10,0,24.0,58.0
125,1,13,12,15,10,0,24.0,58.0
126,1,19,10,6,10,0,27.0,69.0
127,1,21,6,9,10,0,27.0,69.0
128,1,21,7,6,10,0,27.0,69.0
129,1,24,8,13,10,0,15.0,77.0
130,1,15,15,11,10,1,15.0,77.0
131,1,23,9,8,10,1,15.0,77.0
132,1,32,13,18,10,0,62.0,77.0
133,1,27,13,12,10,0,62.0,77.0
134,1,23,5,11,10,0,62.0,77.0
135,1,23,14,15,10,0,49.0,73.0
136,1,33,8,9,10,0,49.0,73.0
137,1,13,7,18,10,0,49.0,73.0
138,1,27,11,7,10,0,67.0,5.0
139,1,13,9,12,10,0,67.0,5.0
140,1,23,5,9,10,0,67.0,5.0
141,1,20,9,15,10,0,56.0,39.0
142,1,18,13,15,10,0,37.0,47.0
143,1,14,6,17,10,0,37.0,47.0
144,1,23,6,9,10,0,37.0,47.0
145,1,18,10,7,10,0,37.0,56.0
146,1,15,5,14,10,1,37.0,56.0
147,1,36,5,9,10,0,57.0,68.0
148,1,16,12,12,10,1,47.0,16.0
149,1,15,11,7,10,0,44.0,17.0
150,1,31,15,10,10,0,46.0,13.0
151,1,24,9,9,10,0,46.0,13.0
152,1,32,5,15,10,1,49.0,11.0
153,1,34,9,15,10,0,49.0,42.0
154,1,24,12,10,10,0,49.0,42.0
155,1,18,14,7,10,0,49.0,42.0
156,1,31,10,16,10,1,53.0,43.0
157,1,32,6,10,10,0,61.0,52.0
158,1,33,13,14,10,1,61.0,52.0
159,1,27,14,15,10,0,57.0,48.0
160,1,31,7,17,10,0,56.0,37.0
161,1,32,8,15,10,0,55.0,54.0
162,1,21,12,17,10,0,15.0,47.0
163,1,29,8,18,10,0,14.0,37.0
164,1,31,12,13,10,0,11.0,31.0
165,1,18,11,14,10,0,11.0,31.0
166,1,22,11,7,10,1,16.0,22.0
167,1,34,11,14,10,0,4.0,18.0
168,1,18,10,7,10,0,28.0,18.0
169,1,35,8,15,10,0,26.0,52.0
170,1,21,6,16,10,0,26.0,52.0
171,1,30,7,8,10,0,26.0,52.0
172,1,24,7,17,10,0,26.0,35.0
173,1,36,5,8,10,0,31.0,67.0
174,1,32,11,12,10,0,15.0,19.0
175,1,26,8,16,10,0,15.0,19.0
176,1,22,8,8,10,0,15.0,19.0
177,1,32,11,15,10,0,22.0,22.0
178,1,31,8,12,10,0,22.0,22.0
179,1,24,10,7,10,1,22.0,22.0
180,1,27,6,12,10,0,18.0,24.0
181,1,24,8,7,10,0,26.0,27.0
182,1,12,10,8,10,0,26.0,27.0
183,1,31,14,15,10,1,26.0,27.0
184,1,23,13,9,10,1,25.0,24.0
185,1,31,10,15,10,0,22.0,27.0
186,1,13,8,14,10,0,22.0,27.0
187,1,13,12,17,10,0,25.0,21.0
188,1,26,10,12,10,0,19.0,21.0
189,1,20,8,11,10,1,20.0,26.0
190,1,34,10,18,10,0,18.0,18.0
191,1,18,5,15,10,0,18.0,18.0
192,1,17,13,6,10,0,18.0,18.0
