id,quantity,length,width,height,weight,fragile,dest_x,dest_y
0,1,21,9,14,10,0,45.0,68.0
1,1,29,14,15,10,0,45.0,70.0
2,1,31,11,9,10,0,45.0,70.0
3,1,20,10,10,10,1,45.0,70.0
4,1,35,11,15,10,0,42.0,66.0
5,1,30,14,9,10,0,42.0,66.0
6,1,13,7,15,10,1,42.0,68.0
7,1,33,6,18,10,0,42.0,65.0
8,1,30,7,16,10,0,42.0,65.0
9,1,15,5,8,10,0,42.0,65.0
10,1,15,10,11,10,1,40.0,69.0
11,1,21,14,12,10,0,40.0,66.0
12,1,17,8,12,10,0,40.0,66.0
13,1,35,7,14,10,1,40.0,66.0
14,1,26,12,14,10,0,38.0,68.0
15,1,13,8,11,10,0,38.0,68.0
16,1,14,14,7,10,1,38.0,68.0
17,1,22,10,7,10,0,38.0,70.0
18,1,34,13,11,10,1,38.0,70.0
19,1,34,13,17,10,0,35.0,66.0
20,1,13,13,16,10,0,35.0,66.0
21,1,20,12,17,10,0,35.0,69.0
22,1,13,6,11,10,0,35.0,69.0
23,1,31,5,17,10,1,35.0,69.0
24,1,16,8,6,10,1,25.0,85.0
25,1,31,9,11,10,0,22.0,75.0
26,1,22,11,7,10,0,22.0,75.0
27,1,14,5,10,10,0,22.0,85.0
28,1,18,14,15,10,1,22.0,85.0
29,1,12,14,14,10,1,22.0,85.0
30,1,12,13,16,10,0,20.0,80.0
31,1,29,5,7,10,0,20.0,80.0
32,1,30,5,7,10,0,20.0,85.0
33,1,31,8,15,10,1,20.0,85.0
34,1,32,15,11,10,0,18.0,75.0
35,1,15,6,10,10,0,18.0,75.0
36,1,36,15,8,10,1,15.0,75.0
37,1,17,9,13,10,0,15.0,80.0
38,1,22,14,12,10,1,15.0,80.0
39,1,35,13,10,10,0,30.0,50.0
40,1,33,14,12,10,0,30.0,52.0
41,1,29,6,17,10,0,30.0,52.0
42,1,33,9,9,10,0,30.0,52.0
43,1,29,15,14,10,0,28.0,52.0
44,1,36,14,10,10,0,28.0,52.0
45,1,23,7,9,10,0,28.0,52.0
46,1,19,9,7,10,1,28.0,55.0
47,1,35,14,12,10,0,25.0,50.0
48,1,31,7,16,10,0,25.0,50.0
49,1,13,12,7,10,0,25.0,50.0
50,1,27,13,15,10,0,25.0,52.0
51,1,34,5,15,10,1,25.0,52.0
52,1,26,7,14,10,1,25.0,52.0
53,1,20,6,9,10,0,25.0,55.0
54,1,36,14,11,10,0,23.0,52.0
55,1,32,11,7,10,0,23.0,52.0
56,1,34,7,10,10,0,23.0,52.0
57,1,36,9,11,10,0,23.0,55.0
58,1,34,12,9,10,1,23.0,55.0
59,1,16,11,15,10,0,20.0,50.0
60,1,17,6,6,10,0,20.0,50.0
61,1,35,8,16,10,0,20.0,55.0
62,1,28,5,6,10,0,10.0,35.0
63,1,30,6,10,10,1,10.0,35.0
64,1,33,15,12,10,1,10.0,40.0
65,1,30,7,11,10,1,10.0,40.0
66,1,36,13,6,10,0,8.0,40.0
67,1,12,13,16,10,0,8.0,40.0
68,1,24,5,10,10,0,8.0,40.0
69,1,26,13,14,10,0,8.0,45.0
70,1,20,15,8,10,0,5.0,35.0
71,1,33,13,12,10,1,5.0,35.0
72,1,24,7,11,10,1,5.0,45.0
73,1,30,9,10,10,0,2.0,40.0
74,1,16,6,10,10,0,2.0,40.0
75,1,18,7,14,10,0,0.0,40.0
76,1,29,10,16,10,0,0.0,45.0
77,1,20,5,14,10,0,0.0,45.0
78,1,16,12,16,10,1,0.0,45.0
79,1,35,13,14,10,0,35.0,30.0
80,1,30,11,11,10,0,35.0,30.0
81,1,18,8,10,10,0,35.0,30.0
82,1,30,14,17,10,0,35.0,32.0
83,1,19,9,17,10,0,35.0,32.0
84,1,25,5,8,10,0,35.0,32.0
85,1,24,14,16,10,0,33.0,32.0
86,1,19,11,10,10,0,33.0,32.0
87,1,19,14,15,10,0,33.0,35.0
88,1,28,9,9,10,0,32.0,30.0
89,1,21,12,9,10,1,32.0,30.0
90,1,28,14,7,10,0,30.0,30.0
91,1,31,13,14,10,0,30.0,32.0
92,1,33,11,11,10,0,30.0,32.0
93,1,17,6,18,10,0,30.0,32.0
94,1,30,7,13,10,0,30.0,35.0
95,1,15,10,14,10,0,30.0,35.0
96,1,23,7,12,10,1,30.0,35.0
97,1,35,10,13,10,0,28.0,30.0
98,1,18,9,16,10,0,28.0,30.0
99,1,13,13,16,10,1,28.0,30.0
100,1,33,10,17,10,1,28.0,35.0
101,1,16,12,18,10,0,26.0,32.0
102,1,29,8,9,10,0,26.0,32.0
103,1,31,7,9,10,0,26.0,32.0
104,1,18,13,10,10,0,25.0,30.0
105,1,18,7,8,10,0,25.0,35.0
106,1,35,7,18,10,0,44.0,5.0
107,1,17,13,10,10,0,44.0,5.0
108,1,14,14,16,10,0,42.0,10.0
109,1,32,12,8,10,0,42.0,10.0
110,1,34,14,9,10,1,42.0,10.0
111,1,16,12,10,10,0,42.0,15.0
112,1,18,6,10,10,0,40.0,5.0
