id,quantity,length,width,height,weight,fragile,dest_x,dest_y
0,1,6,5,26,25,0,10,-10
1,1,15,5,14,22,0,-80,60
2,2,26,5,22,10,0,0,50
3,1,28,5,17,20,0,30,100
4,1,29,5,28,16,0,10,-70
5,1,29,5,28,16,0,20,-80
6,1,8,6,26,23,1,-40,70
7,1,8,6,26,23,1,70,80
8,2,18,6,7,17,1,-90,-50
9,1,18,6,7,17,1,100,30
10,1,24,6,16,38,0,20,0
11,1,15,7,23,1,0,20,70
12,2,18,7,19,25,0,40,-10
13,1,20,7,13,5,0,-20,60
14,1,22,7,17,14,0,-100,0
15,1,27,7,28,30,0,80,40
16,2,12,8,29,6,0,70,100
17,2,17,8,27,36,1,20,-100
18,2,17,8,27,36,1,50,0
19,1,22,8,18,39,0,-10,-10
20,1,22,8,18,39,0,70,-80
21,1,28,8,27,10,0,-40,-10
22,1,13,9,15,28,0,-30,90
23,1,13,9,15,28,0,10,70
24,1,13,9,27,32,0,-30,-40
25,1,17,9,22,12,0,-70,-30
26,1,17,9,22,12,0,-60,30
27,1,19,9,25,38,0,-100,-100
28,1,24,9,21,15,0,40,-90
29,3,25,9,25,10,0,-10,-70
30,1,28,9,19,6,0,-40,-40
31,2,8,11,14,3,1,-60,-80
32,1,9,11,12,25,0,-30,-70
33,1,9,11,12,25,0,-20,30
34,1,9,11,23,18,0,-50,-60
35,2,9,11,23,18,0,50,20
36,1,16,11,22,9,0,-70,90
37,1,12,12,16,15,0,100,-80
38,1,22,12,26,34,0,70,-90
39,1,9,13,26,22,1,70,60
40,1,10,13,29,3,1,20,-20
41,1,16,13,7,20,0,40,100
42,2,16,13,9,9,0,-70,40
43,1,16,13,23,28,1,-70,30
44,2,24,13,8,37,1,-100,30
45,1,25,13,29,23,1,-40,-70
46,1,28,13,12,33,0,0,-80
47,2,28,13,12,33,0,40,-60
48,1,7,14,25,1,0,100,-90
49,1,9,14,13,35,0,20,-90
50,1,16,14,23,1,0,-20,-60
51,1,16,14,23,1,0,-20,-20
52,1,16,14,23,1,0,100,-50
53,1,18,14,8,4,1,-20,90
54,1,20,14,5,39,0,50,-20
55,1,21,14,20,26,1,-90,20
56,1,11,15,26,21,0,-20,50
57,1,15,15,28,25,0,-70,-50
58,1,20,15,10,4,0,-70,10
59,2,20,15,10,4,0,50,-40
60,2,21,15,24,33,1,80,50
61,1,24,15,17,24,0,70,50
62,1,14,16,9,35,0,-40,-20
63,1,14,16,9,35,0,0,10
64,2,26,16,10,7,1,-10,-40
65,1,26,16,21,4,1,60,10
66,1,8,17,14,28,0,80,70
67,1,17,17,27,11,0,60,30
68,1,19,17,18,38,0,-10,30
69,2,6,18,17,17,1,-30,-80
70,1,6,18,17,17,1,90,50
71,2,8,18,18,25,0,-100,-80
72,1,8,18,18,25,0,-10,70
73,1,13,18,29,15,0,50,10
74,2,24,18,7,1,0,-10,-80
75,1,25,18,6,33,0,-90,-90
76,1,5,19,11,7,0,90,10
77,1,6,19,22,18,0,-100,-20
78,1,6,19,27,16,1,-30,80
79,1,8,19,8,20,0,-60,90
80,1,8,19,15,21,0,-50,-70
81,1,21,19,8,16,0,0,30
82,1,21,19,8,16,0,20,-50
83,1,21,19,8,16,0,40,0
84,1,24,20,14,38,0,70,-60
85,1,24,20,19,16,1,100,-30
86,1,11,21,22,8,0,-60,70
87,1,13,21,17,16,1,-80,40
88,1,14,21,13,20,0,-40,100
89,1,10,22,18,14,1,30,-70
90,1,10,22,24,27,0,-50,40
91,2,10,22,24,27,0,30,-10
92,1,19,22,14,30,0,0,-10
93,3,19,22,14,30,0,30,70
94,1,22,22,24,34,0,100,40
95,1,13,23,22,12,0,0,90
96,1,17,23,27,29,0,60,-50
97,1,24,23,19,25,0,-30,50
98,1,25,23,21,39,1,-90,60
99,1,26,23,20,12,0,-50,20
100,1,29,23,6,21,0,-100,-70
101,2,29,23,6,21,0,-40,0
102,1,29,23,6,21,0,50,-70
103,2,8,24,6,33,1,-60,-30
104,1,8,24,6,33,1,40,50
105,1,8,24,25,36,0,-90,30
106,2,14,24,25,35,0,80,0
107,1,15,24,26,3,1,-50,-20
108,1,19,24,21,3,0,40,-30
109,2,6,25,9,25,0,-70,-10
110,1,6,25,9,25,0,-50,90
111,2,7,25,24,27,0,100,-20
112,2,25,25,12,33,1,80,-20
113,1,11,26,18,20,0,-60,10
114,1,13,26,18,7,0,-50,-40
115,1,14,26,23,27,0,40,30
116,1,23,26,10,25,0,-100,-50
117,1,24,26,7,30,0,-70,70
118,2,24,26,7,30,0,90,-50
119,1,10,27,16,13,0,60,-90
120,1,27,27,20,32,0,90,40
121,2,5,28,29,29,1,0,-30
122,1,11,28,6,7,0,-40,-30
123,1,23,28,25,10,0,-20,-70
124,1,28,28,15,15,0,50,-30
125,1,7,29,24,26,0,-90,10
126,1,7,29,24,26,0,-30,-50
127,1,7,29,25,23,0,0,-100
128,2,7,29,25,23,0,100,-100
129,3,8,29,24,5,1,-40,40
130,2,9,29,9,5,0,-100,-60
131,1,11,29,19,21,1,-80,-10
132,2,11,29,19,21,1,60,60
133,1,22,29,12,28,0,90,-80
134,1,12,30,17,11,0,0,-50
135,2,16,30,15,7,0,-50,-30
136,1,16,30,15,7,0,30,-50
137,1,24,30,25,24,0,-80,-100
138,1,6,31,29,11,0,0,-90
139,1,10,31,18,11,1,-10,100
140,1,10,31,18,11,1,20,-10
141,1,10,31,18,11,1,90,-40
142,1,10,32,25,10,0,-100,40
143,1,10,32,25,10,0,-80,10
144,1,10,32,25,10,0,-40,-50
145,2,14,32,25,6,0,-60,0
146,1,20,32,5,1,0,50,80
147,1,24,32,19,31,0,-90,-20
148,1,25,32,23,34,0,-90,-80
149,3,25,32,23,34,0,60,-70
150,1,29,32,16,3,0,60,40
151,1,8,33,9,31,0,-60,-100
152,2,9,33,13,2,0,-80,-50
153,1,9,33,13,2,0,-80,100
154,1,8,34,18,1,0,90,20
155,2,9,34,15,6,0,-70,100
156,2,9,34,15,6,0,60,-80
157,1,13,34,13,3,0,30,50
158,1,14,34,5,25,1,-70,60
159,1,14,34,5,25,1,90,0
160,1,21,34,16,2,1,60,-30
161,3,27,34,11,21,1,50,-80
162,1,8,35,28,30,1,30,-30
163,1,15,35,23,22,0,-10,-20
164,2,21,35,25,20,1,0,-70
165,1,21,35,25,20,1,20,60
166,1,21,35,25,20,1,30,-40
167,1,22,35,6,11,1,-10,-50
168,1,23,35,15,39,0,-40,-90
169,1,6,36,12,5,0,100,100
170,1,8,36,20,35,0,10,60
171,1,11,36,22,27,0,20,20
172,1,12,36,29,23,0,-80,20
173,1,14,36,19,23,0,80,-10
174,2,14,36,26,35,0,10,10
175,1,17,36,23,7,1,40,-70
176,3,17,36,23,7,1,100,90
177,1,18,36,23,9,0,50,30
178,1,6,37,29,13,1,-60,40
179,1,12,37,23,8,0,-80,-30
180,1,14,37,19,3,0,-30,20
181,2,14,37,19,3,0,0,-40
182,1,24,37,10,9,0,-10,-100
183,2,24,37,10,9,0,50,-50
184,2,24,37,10,9,0,90,-100
185,1,25,37,9,3,0,30,-90
186,1,28,37,5,32,0,10,-100
187,1,9,38,8,11,0,100,0
188,1,21,38,28,17,0,-70,-60
189,1,27,38,12,10,0,60,90
190,1,6,39,23,30,0,10,-80
191,1,20,39,21,11,0,-50,0
192,3,20,39,22,32,0,20,80
193,1,20,39,22,32,0,50,-100
194,2,20,39,22,32,0,80,20
195,1,26,39,29,20,0,-20,0
